Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
(P)RR	ATP6AP2	gene	HOM:51886485	HGNC
0808Y08Y	NFYC-AS1	gene	HGNC:49451	HGNC
1-8D	IFITM2	gene	HOM:51876490	HGNC
1-8U	IFITM3	gene	HOM:51876492	HGNC
1-CYS	PRDX6	gene	HOM:51884482	HGNC
1/2-SBSRNA4	SEC24B-AS1	gene	HGNC:44003	HGNC
10-FTHF	ALDH1L1	gene	HOM:51870360	HGNC
101F10.1	KNOP1	gene	HOM:51879602	HGNC
101F6	CYB561D2	gene	HOM:51882828	HGNC
103AS	KIR2DL4	gene	HOM:51887956	HGNC
10C	ARHGAP9	gene	HOM:51885931	HGNC
11B6	MAGED2	gene	HOM:51877673	HGNC
12-HETER	GPR31	gene	HOM:51879301	HGNC
123F2	RASSF1	gene	HOM:51882333	HGNC
12CC4	FOXP1	gene	HOM:51875798	HGNC
12R-LOX	ALOX12B	gene	HOM:51870688	HGNC
12S	MT-RNR1	gene	HGNC:7470	HGNC
12S-LOX	ALOX12	gene	HOM:51870686	HGNC
133K02	FAM114A2	gene	HOM:51875303	HGNC
13CDNA73	FRY	gene	HOM:51870363	HGNC
14-3-3	YWHAQ	gene	HOM:51882029	HGNC
14-3-3-ZETA	YWHAZ	gene	HOM:51874093	HGNC
14-3-3G	YWHAG	gene	HOM:51871748	HGNC
14-3-3GAMMA	YWHAG	gene	HOM:51871748	HGNC
14-3-3Γ	YWHAG	gene	HOM:51871748	HGNC
14.1	IGLL1	gene	HOM:51885963	HGNC
14Q(0)	SNORD112	gene	HGNC:32777	HGNC
14Q(I-1)	SNORD113-1	gene	HGNC:32980	HGNC
14Q(I-2)	SNORD113-2	gene	HGNC:32981	HGNC
14Q(I-3)	SNORD113-3	gene	HGNC:32982	HGNC
14Q(I-4)	SNORD113-4	gene	HGNC:32983	HGNC
14Q(I-5)	SNORD113-5	gene	HGNC:32984	HGNC
14Q(I-6)	SNORD113-6	gene	HGNC:32985	HGNC
14Q(I-7)	SNORD113-7	gene	HGNC:32986	HGNC
14Q(I-8)	SNORD113-8	gene	HGNC:32987	HGNC
14Q(I-9)	SNORD113-9	gene	HGNC:32988	HGNC
14Q(II-1)	SNORD114-1	gene	HGNC:32989	HGNC
14Q(II-10)	SNORD114-10	gene	HGNC:32998	HGNC
14Q(II-11)	SNORD114-11	gene	HGNC:32999	HGNC
14Q(II-12)	SNORD114-12	gene	HGNC:33000	HGNC
14Q(II-13)	SNORD114-13	gene	HGNC:33001	HGNC
14Q(II-14)	SNORD114-14	gene	HGNC:33002	HGNC
14Q(II-15)	SNORD114-15	gene	HGNC:33003	HGNC
14Q(II-16)	SNORD114-16	gene	HGNC:33004	HGNC
14Q(II-17)	SNORD114-17	gene	HGNC:33005	HGNC
14Q(II-18)	SNORD114-18	gene	HGNC:33006	HGNC
14Q(II-19)	SNORD114-19	gene	HGNC:33007	HGNC
14Q(II-2)	SNORD114-2	gene	HGNC:32990	HGNC
14Q(II-20)	SNORD114-20	gene	HGNC:33008	HGNC
14Q(II-21)	SNORD114-21	gene	HGNC:33009	HGNC
14Q(II-22)	SNORD114-22	gene	HGNC:33010	HGNC
14Q(II-23)	SNORD114-23	gene	HGNC:33011	HGNC
14Q(II-24)	SNORD114-24	gene	HGNC:33012	HGNC
14Q(II-25)	SNORD114-25	gene	HGNC:33013	HGNC
14Q(II-26)	SNORD114-26	gene	HGNC:33014	HGNC
14Q(II-27)	SNORD114-27	gene	HGNC:33015	HGNC
14Q(II-28)	SNORD114-28	gene	HGNC:33016	HGNC
14Q(II-29)	SNORD114-29	gene	HGNC:33017	HGNC
14Q(II-3)	SNORD114-3	gene	HGNC:32991	HGNC
14Q(II-30)	SNORD114-30	gene	HGNC:33018	HGNC
14Q(II-31)	SNORD114-31	gene	HGNC:33019	HGNC
14Q(II-4)	SNORD114-4	gene	HGNC:32992	HGNC
14Q(II-5)	SNORD114-5	gene	HGNC:32993	HGNC
14Q(II-6)	SNORD114-6	gene	HGNC:32994	HGNC
14Q(II-7)	SNORD114-7	gene	HGNC:32995	HGNC
14Q(II-8)	SNORD114-8	gene	HGNC:32996	HGNC
14Q(II-9)	SNORD114-9	gene	HGNC:32997	HGNC
15-LOX-1	ALOX15	gene	HOM:51870685	HGNC
15-LOX-2	ALOX15B	gene	HOM:51870689	HGNC
15.212	KIR2DL4	gene	HOM:51887956	HGNC
15.5K	SNU13	gene	HOM:51871486	HGNC
156DAG	DAG1	gene	HOM:51872729	HGNC
15E1.2	GATC	gene	HOM:51881296	HGNC
16.1	IGLL3P	gene	HGNC:5872	HGNC
16.2	IGLL2P	gene	HGNC:5871	HGNC
16.3A5	CD59	gene	HOM:51877645	HGNC
16A	ATP6AP1	gene	HOM:51870935	HGNC
16E1BP	TRIP13	gene	HOM:51876722	HGNC
16S	MT-RNR2	gene	HGNC:7471	HGNC
17-1A	EPCAM	gene	HOM:51878307	HGNC
17-BETA-HSD11	HSD17B11	gene	HOM:51887722	HGNC
17-BETA-HSDXI	HSD17B11	gene	HOM:51887722	HGNC
1700010H15RIK	DNAL1	gene	HOM:51874940	HGNC
