Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
(A)3	CHRNA3	gene	HOM:51885543	MGI
(ALPHA)1 SUBUNIT	CACNA1C	gene	HOM:51872406	MGI
(HOMOLOGOUS ALU RNA BINDING PROTEIN)	SRP14	gene	HOM:51883196	MGI
(P)RR	ATP6AP2	gene	HOM:51886485	MGI
(PST)G	SULT1C1	gene	HOM:51884794	MGI
-14 GENE	NPRL3	gene	HOM:51874319	MGI
009TNP	TMGC44	gene	MGI:3589212	MGI
0610005A07RIK	GSTM7	gene	HOM:51871887	MGI
0610005C13RIK	0610005C13RIK	gene	MGI:1918911	MGI
0610005K03RIK	LYPD2	gene	HOM:51888279	MGI
0610005M07RIK	SDHAF3	gene	HOM:51870519	MGI
0610006A03RIK	FUCA1	gene	HOM:51875828	MGI
0610006A11RIK	BLVRA	gene	HOM:51883462	MGI
0610006C01RIK	MPC2	gene	HOM:51871157	MGI
0610006F02RIK	TMT1B	gene	HOM:51877764	MGI
0610006G08RIK	MPC1	gene	HOM:51884861	MGI
0610006G17RIK	NFU1	gene	HOM:51876241	MGI
0610006H08RIK	DTD1	gene	HOM:51873353	MGI
0610006H10RIK	ACY3	gene	HOM:51876449	MGI
0610006I08RIK	TMEM223	gene	HOM:51882787	MGI
0610006J14RIK	RPS27A	gene	HOM:51876267	MGI
0610006K04RIK	NUDT22	gene	HOM:51882862	MGI
0610006L08RIK	0610006L08RIK	gene	MGI:1923503	MGI
0610006N12RIK	NDUFB4	gene	HOM:51875513	MGI
0610006O14RIK	ATP6V0E2	gene	HOM:51882997	MGI
0610006O17RIK	ACOT13	gene	HOM:51880662	MGI
0610007A03RIK	HSBP1	gene	HOM:51876349	MGI
0610007A15RIK	TLCD1	gene	HOM:51882858	MGI
0610007C21RIK	ATRAID	gene	HOM:51879158	MGI
0610007D04RIK	KLK1	gene	HOM:51887983	MGI
0610007D05RIK	NDUFB5	gene	HOM:51876253	MGI
0610007D13RIK	RAD23B	gene	HOM:51876337	MGI
0610007F04RIK	MRPS34	gene	HOM:51873752	MGI
0610007F13RIK	PDZK1IP1	gene	HOM:51877690	MGI
0610007G24RIK	GARIN5A	gene	HOM:51887525	MGI
0610007H07RIK	TMBIM4	gene	HOM:51882151	MGI
0610007H08RIK	STX8	gene	HOM:51884301	MGI
0610007H10RIK	SNAPC2	gene	HOM:51886013	MGI
0610007I11RIK	DNAJB1	gene	HOM:51872854	MGI
0610007I19RIK	CHN1	gene	HOM:51870700	MGI
0610007K21RIK	HAAO	gene	HOM:51882945	MGI
0610007L01RIK	TMEM248	gene	HOM:51882934	MGI
0610007L03RIK	MED21	gene	HOM:51875681	MGI
0610007L05RIK	RARRES2	gene	HOM:51879762	MGI
0610007M19RIK	PPT2	gene	HOM:51878485	MGI
0610007N03RIK	RAB13	gene	HOM:51871894	MGI
0610007N19RIK	SNHG18	gene	HOM:51890105	MGI
0610007O07RIK	RNASET2A	gene	HOM:51874589	MGI
0610007O17RIK	MRPL34	gene	HOM:51876726	MGI
0610007P06RIK	HIKESHI	gene	HOM:51883014	MGI
0610007P08RIK	ERCC6L2	gene	HOM:51879856	MGI
0610007P14RIK	ERG28	gene	HOM:51875972	MGI
0610007P22RIK	TSR3	gene	HOM:51884739	MGI
0610008A10RIK	APH1C	gene	HOM:51882378	MGI
0610008C08RIK	APOO	gene	HOM:51870792	MGI
0610008C09RIK	H1F2	gene	HOM:51876242	MGI
0610008D19RIK	FBXO36	gene	HOM:51874526	MGI
0610008F07RIK	HNF4AOS	gene	MGI:1915564	MGI
0610008F14RIK	ATP5F1D	gene	HOM:51870922	MGI
0610008I02RIK	FXYD4	gene	HOM:51887502	MGI
0610008J02RIK	0610008J02RIK	gene	MGI:1925547	MGI
0610008J07RIK	CLTRN	gene	HOM:51880552	MGI
0610008K04RIK	TMEM254	gene	HOM:51884299	MGI
